iter	MultiClass
0	1.047169952
1	1.000875402
2	0.9619390995
3	0.9294154038
4	0.9018989359
5	0.8802596774
6	0.8586946528
7	0.8397745648
8	0.8226367507
9	0.8073177392
10	0.7938759526
11	0.7843123072
12	0.7734853784
13	0.7618411297
14	0.7524235453
15	0.7427509952
16	0.7347416192
17	0.7263025763
18	0.7196244826
19	0.7138266922
20	0.7095252645
21	0.7040433826
22	0.6994437677
23	0.6959699078
24	0.6913880751
25	0.6885295477
26	0.6850428631
27	0.6821129985
28	0.6770508886
29	0.673218783
30	0.6701300478
31	0.6677452807
32	0.6648025532
33	0.6624086504
34	0.6601304654
35	0.6575786707
36	0.6551815241
37	0.6532833225
38	0.6507350653
39	0.6489482127
40	0.6469202483
41	0.6451384884
42	0.6439474741
43	0.6419880851
44	0.6398378085
45	0.6377977478
46	0.6354803091
47	0.6337588371
48	0.6323250038
49	0.6307660581
50	0.6288159901
51	0.6274687276
52	0.6265988358
53	0.6259399444
54	0.6248039791
55	0.6230478979
56	0.6216098642
57	0.6204283233
58	0.6185861099
59	0.6171261775
60	0.6159205436
61	0.6148618296
62	0.6127411488
63	0.6109034364
64	0.6095330535
65	0.6082936254
66	0.6064148354
67	0.6050058993
68	0.603285586
69	0.601307439
70	0.5998617175
71	0.5980284353
72	0.5957966924
73	0.5947923904
74	0.5935491742
75	0.5918271494
76	0.5906603052
77	0.5896745453
78	0.5877681219
79	0.5863690409
80	0.5849025835
81	0.5838955699
82	0.5824949167
83	0.5815446248
84	0.5796516416
85	0.5784447017
86	0.5777181887
87	0.5763732213
88	0.5746850652
89	0.5740346046
90	0.5726222297
91	0.5717969741
92	0.5705084847
93	0.5695522403
94	0.5682076201
95	0.5669963857
96	0.5657861848
97	0.5650702351
98	0.5639818
99	0.563015878
100	0.5620979247
101	0.5600009423
102	0.5592134546
103	0.558468762
104	0.5576023837
105	0.5566129881
106	0.555588304
107	0.5547903118
108	0.5538108096
109	0.5526933322
110	0.5519498496
111	0.551268632
112	0.5493575475
113	0.5483842053
114	0.5471202777
115	0.5461707713
116	0.5444643451
117	0.5433447744
118	0.5423703915
119	0.5417130035
120	0.5409746103
121	0.5403712612
122	0.5395262936
123	0.5387726233
124	0.5376418391
125	0.5362399024
126	0.5354628595
127	0.5342473033
128	0.5323408272
129	0.5316736662
130	0.5304792406
131	0.5295569177
132	0.528629626
133	0.5276137864
134	0.5270587805
135	0.5257114247
136	0.5247102806
137	0.5234428941
138	0.5224336595
139	0.5216601093
140	0.5205779673
141	0.5190268372
142	0.517393614
143	0.516057817
144	0.5154266605
145	0.5130723558
146	0.5121436837
147	0.5114394645
148	0.5105308029
149	0.50952482
150	0.5089806248
151	0.5074426203
152	0.5063347722
153	0.5050901934
154	0.5041556783
155	0.5032196904
156	0.5022335035
157	0.5015856919
158	0.5003017527
159	0.4995482212
160	0.4983448595
161	0.4974420026
162	0.496396186
163	0.4951662647
164	0.4943877794
165	0.4938254361
166	0.4932503548
167	0.4926749562
168	0.4920190407
169	0.4911975011
170	0.4902336565
171	0.4893349581
172	0.4881045896
173	0.4873176143
