iter	Passed	Remaining
0	3	3602
1	8	4015
2	12	4046
3	16	4022
4	20	4063
5	24	4045
6	28	4087
7	32	4063
8	36	4022
9	40	4002
10	44	3976
11	46	3832
12	49	3785
13	53	3782
14	57	3771
15	61	3756
16	64	3739
17	68	3731
18	72	3723
19	75	3714
20	79	3703
21	83	3701
22	87	3708
23	90	3693
24	94	3678
25	98	3675
26	101	3671
27	105	3662
28	109	3654
29	112	3652
30	116	3647
31	120	3642
32	124	3638
33	128	3642
34	131	3638
35	135	3640
36	139	3635
37	143	3632
38	147	3624
39	151	3625
40	154	3620
41	158	3613
42	162	3610
43	165	3605
44	170	3612
45	174	3624
46	179	3630
47	182	3627
48	186	3621
49	190	3620
50	194	3616
51	198	3614
52	202	3610
53	205	3601
54	209	3599
55	213	3595
56	217	3591
57	220	3585
58	224	3584
59	228	3577
60	231	3570
61	235	3561
62	239	3554
63	242	3549
64	246	3543
65	250	3538
66	253	3531
67	257	3526
68	261	3521
69	264	3516
70	268	3512
71	272	3507
72	275	3504
73	279	3500
74	283	3494
75	286	3487
76	290	3486
77	294	3480
78	298	3478
79	302	3474
80	305	3471
81	309	3466
82	313	3461
83	317	3458
84	320	3452
85	324	3444
86	327	3440
87	331	3434
88	334	3428
89	338	3421
90	341	3414
91	345	3408
92	348	3403
93	352	3398
94	356	3392
95	359	3386
96	363	3380
97	366	3375
98	370	3370
99	373	3364
100	377	3358
101	380	3351
102	384	3344
103	387	3340
104	391	3339
105	395	3335
106	399	3331
107	402	3327
108	406	3324
109	410	3320
110	414	3323
111	418	3320
112	422	3319
113	426	3317
114	430	3315
115	434	3311
116	438	3306
117	441	3303
118	445	3298
119	449	3294
120	452	3289
121	456	3283
122	459	3278
123	464	3279
124	468	3277
125	471	3273
126	475	3268
127	479	3263
128	482	3258
129	486	3254
130	490	3250
131	493	3245
132	497	3241
133	500	3235
134	504	3230
135	507	3226
136	511	3222
137	515	3217
138	518	3211
139	522	3206
140	525	3204
141	529	3200
142	533	3196
143	536	3192
144	540	3187
145	544	3184
146	548	3179
147	551	3174
148	554	3169
149	558	3164
150	561	3158
151	565	3153
152	568	3148
153	572	3143
154	575	3137
155	578	3132
156	582	3127
157	585	3121
158	589	3116
159	593	3113
160	596	3108
161	599	3103
162	603	3098
163	606	3092
164	610	3088
165	613	3084
166	617	3080
167	620	3075
168	624	3070
169	627	3065
170	631	3061
171	634	3055
172	638	3050
173	641	3046
174	645	3041
175	648	3036
176	652	3031
177	655	3028
178	659	3024
179	662	3019
180	666	3014
181	669	3009
182	672	3004
183	676	2999
184	679	2994
185	683	2990
186	686	2985
187	690	2980
188	693	2975
189	696	2970
190	700	2966
191	704	2962
192	708	2961
193	712	2961
194	717	2961
195	721	2959
196	724	2955
197	728	2951
198	732	2947
199	735	2943
200	739	2938
201	742	2933
202	746	2929
203	749	2925
204	753	2923
205	757	2920
206	761	2916
207	764	2912
208	768	2908
209	772	2904
210	775	2899
211	778	2894
212	782	2890
213	785	2886
214	789	2881
215	792	2876
216	796	2872
217	799	2868
218	803	2864
219	806	2860
220	810	2855
221	813	2851
222	817	2847
223	820	2842
224	824	2838
225	827	2834
226	831	2830
227	834	2826
228	838	2822
229	841	2818
230	845	2814
231	848	2810
232	852	2806
233	856	2802
234	859	2798
235	863	2794
236	866	2790
237	870	2786
238	873	2781
239	877	2777
240	880	2773
241	884	2769
242	887	2764
243	891	2761
244	894	2756
245	898	2752
246	901	2747
247	904	2743
248	908	2740
249	912	2738
250	917	2737
251	921	2734
252	925	2733
253	930	2732
254	934	2729
255	938	2728
256	942	2726
257	947	2723
258	951	2720
259	955	2719
260	959	2717
261	964	2715
262	968	2713
263	972	2711
264	976	2709
265	980	2706
266	984	2702
267	988	2699
268	991	2695
269	995	2691
270	999	2688
271	1003	2685
272	1007	2681
273	1011	2678
274	1014	2675
275	1018	2671
276	1022	2667
277	1025	2663
278	1029	2659
279	1032	2656
280	1036	2652
281	1039	2647
282	1043	2643
283	1047	2639
284	1050	2635
285	1054	2631
286	1057	2626
287	1060	2622
288	1064	2619
289	1068	2615
290	1071	2611
291	1075	2607
292	1078	2603
293	1082	2599
294	1085	2595
295	1089	2591
296	1093	2587
297	1096	2584
298	1100	2580
299	1103	2575
300	1107	2571
301	1111	2567
302	1114	2563
303	1117	2559
304	1121	2555
305	1124	2550
306	1128	2546
307	1131	2541
308	1134	2537
309	1138	2533
310	1141	2528
311	1144	2524
312	1148	2520
313	1151	2515
314	1155	2511
315	1158	2508
316	1162	2504
317	1166	2500
318	1169	2496
319	1173	2492
320	1176	2488
321	1180	2484
322	1183	2480
323	1187	2478
324	1191	2475
325	1195	2471
326	1199	2467
327	1202	2464
328	1206	2460
329	1209	2455
330	1212	2451
331	1216	2447
332	1219	2443
333	1223	2439
334	1227	2436
335	1230	2432
336	1234	2428
337	1237	2424
338	1242	2421
339	1245	2418
340	1249	2414
341	1252	2410
342	1256	2406
343	1259	2402
344	1263	2398
345	1266	2394
346	1270	2390
347	1274	2387
348	1277	2383
349	1281	2379
350	1284	2375
351	1288	2372
352	1292	2368
353	1295	2364
354	1299	2360
355	1302	2356
356	1306	2353
357	1310	2350
358	1314	2347
359	1318	2343
360	1321	2339
361	1325	2335
362	1328	2331
363	1332	2327
364	1335	2323
365	1339	2319
366	1342	2315
367	1345	2311
368	1349	2307
369	1352	2303
370	1356	2299
371	1360	2296
372	1363	2292
373	1366	2287
374	1370	2284
375	1374	2280
376	1377	2276
377	1381	2273
378	1384	2268
379	1388	2265
380	1391	2261
381	1395	2257
382	1399	2254
383	1403	2251
384	1407	2247
385	1410	2244
386	1414	2240
387	1418	2236
388	1422	2233
389	1426	2230
390	1430	2227
391	1434	2224
392	1438	2221
393	1442	2217
394	1446	2215
395	1450	2212
396	1454	2209
397	1458	2205
398	1462	2202
399	1466	2199
400	1470	2195
401	1473	2192
402	1478	2189
403	1482	2187
404	1486	2184
405	1490	2180
406	1494	2177
407	1498	2174
408	1502	2171
409	1506	2167
410	1510	2164
411	1513	2160
412	1517	2156
413	1521	2152
414	1524	2149
415	1528	2145
416	1532	2142
417	1535	2138
418	1539	2134
419	1543	2130
420	1546	2127
421	1550	2123
422	1554	2119
423	1557	2116
424	1561	2112
425	1565	2108
426	1568	2104
427	1572	2101
428	1576	2097
429	1579	2094
430	1583	2090
431	1586	2086
432	1590	2083
433	1594	2079
434	1597	2075
435	1601	2071
436	1605	2067
437	1609	2064
438	1612	2060
439	1616	2056
440	1619	2053
441	1623	2049
442	1626	2045
443	1630	2041
444	1633	2037
445	1637	2033
446	1640	2029
447	1644	2026
448	1647	2022
449	1651	2018
450	1655	2014
451	1658	2010
452	1662	2006
453	1665	2003
454	1669	1999
455	1672	1995
456	1676	1991
457	1679	1987
458	1683	1984
459	1687	1980
460	1691	1977
461	1694	1973
462	1698	1969
463	1701	1965
464	1705	1962
465	1709	1958
466	1712	1954
467	1716	1950
468	1719	1946
469	1723	1942
470	1726	1939
471	1729	1935
472	1733	1931
473	1737	1927
474	1740	1923
475	1744	1920
476	1748	1916
477	1751	1913
478	1755	1909
479	1759	1905
480	1762	1902
481	1766	1898
482	1770	1894
483	1773	1890
484	1777	1886
485	1780	1883
486	1784	1879
487	1787	1875
488	1792	1872
489	1796	1869
490	1799	1865
491	1803	1862
492	1807	1858
493	1811	1855
494	1815	1852
495	1820	1849
496	1824	1846
497	1828	1842
498	1831	1839
499	1835	1835
500	1838	1831
501	1842	1827
502	1846	1824
503	1849	1820
504	1853	1816
505	1856	1812
506	1860	1808
507	1863	1804
508	1867	1801
509	1870	1797
510	1874	1793
511	1877	1789
512	1881	1785
513	1884	1782
514	1888	1778
515	1891	1774
516	1895	1770
517	1898	1766
518	1903	1763
519	1908	1761
520	1913	1759
521	1917	1755
522	1921	1752
523	1926	1750
524	1931	1747
525	1936	1744
526	1940	1741
527	1944	1738
528	1948	1734
529	1951	1730
530	1955	1727
531	1959	1723
532	1962	1719
533	1966	1715
534	1970	1712
535	1973	1708
536	1977	1704
537	1981	1701
538	1984	1697
